Station,", Bedrock Type ()",", Intact Strength ()",", Bedrock (Weathering)",", Spacing (of Defects)",", Additional Rock (Description)",", Notes ()",", References ()",", Bulk Density ((t/m3))",", Bulk Density (Notes)",", UCS (Mpa)",", UCS (Notes)",", Vs (m/s) ()",", Vs Notes ()",", Depth to Bedrock (from sensor level)",", Depth to Bedrock (from sensor level - Notes)"
PFAS,Greywacke,moderately strong,highly weathered,,weak to strong,completely weathered near surface grading down to hard rock at ~10m,"Dellow, G.D. et al. (1991)",,,,,,,0,Probably no overburden beneath the structure
PGFS,Mudstone,moderately weak,,,Tertiary mudstone / sandstone,,"Lillie, A.R. (1953)",,,,,,,10,Minimum value
PGMS,Greywacke,strong,,,,,"Fry, B. (1980)",,,,,,,250,Approximate value
PHFS,Greywacke,weak,moderately weathered,,,,,,,,,,,0,
PKIS,Greywacke,strong,,,,,"Gair, H.S. (1967)",,,,,,,0,
PNBS,Greywacke,very strong,,,,,"Cowie, J.D. (1974)",,,,,,,2000,c. 60m to effective bedrock
POLS,Greywacke,weak,moderately weathered,,moderately to highly weathered,shear zone between two strands of the Ohariu fault,"Stephenson, W.R., & Barker, P.R. (1992); Dellow, G.D. et al. (1991)",,,,,,,20,
POTS,Greywacke,moderately strong,moderately weathered,,moderately to highly weathered,weak to strong,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,0,
PPHS,Greywacke,strong,,,,,"Brown, L.J. (1975); NZSoil Bureau File SML 12/1(Held at GNS). ",,,,,,,1000,
PRPC,Greywacke,strong,,,,,"Brown, L.J. (1975)",,,,,,,,Unknown - insufficient subsurface data
PTHS,Mudstone,weak,,,Puketoka Fm ?,,"Kermode, L.O. (1966)",,,,,,,,Unknown - insufficient subsurface data
PUZ,Sandstone,moderately strong,,,,"Site is on a thin slab of Cretaceous sandstone (c 5km x 3km x few hundred metres thick) thrust over younger, weaker rocks (1-2km thick), forming diapirs.","Cousins, W.J. et al. (1999)",,,,,,,0,
PXZ,Greywacke,strong,,,argillite - Whangai Fm,,"Lillie, A.R. (1953)",,,,,,,0,
QCCS,Greywacke,moderately strong,highly weathered,,Pelorus group Greywacke / argillite,,"Horrey, P.J. (1989); Beck, A.C. (1964)",,,,,,,20,Minimum value - no data available for deeper soils layers
QRZ,Schist,strong,,,Golden Bay Schist,,"Cousins, W.J. et al. (1999)",,,,,,,0,
QTPS,Schist,Strong,,,,,"Wood, B.L. (1962)",,,,,,,45,Approximate value
RDCS,Sandstone,strong,,,sandstone (Greenland Group),,"Bowen, F.E. (1964)",,,,,,,20,
REHS,Basalt,strong,,,greywacke or basalt,,"Brown, L.J., & Weeber, J.H. (1992)",,,,,,,1150,c. 400 m to effective bedrock
RKAC,Greywacke,strong,,,,,NZ Soil Bureau. (1968),,,,,,,,Unknown - insufficient subsurface data
ROLC,Greywacke,strong,,,,,"Wilson, D.D. (1989)",,,,,,,,Unknown - insufficient subsurface data
ROPS,Rhyolite,moderately strong,,,Haparangi Rhyolite,Bedrock hydrothermally altered in part. Some of Huka Gp may be cemented by siliceous sinter,"Crafar, W.M. (1973)",,,,,,,60,"Probably < 60 m, Huka Group sediments may be effective bedrock in part"
RPCS,Rhyolite,moderately weak,,,volcanic breccia,moderately weak to moderately strong,"Vucetich, C.G Wells, N. (1978); Healy, J. et al. (1964)",,,,,,,,Unknown - insufficient subsurface data
RPZ,Rhyolite,moderately strong,,,Mt Somers Volcanics,,"Gair, H.S. (1967)",,,,,,,0,
RQGS,Greywacke,moderately strong,,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,50,Approximate value
RRKS,Siltstone,moderately strong,,,Taranaki series?,,"Wood, B.L. (1966)",,,,,,,,Unknown - insufficient subsurface data
RUAS,Siltstone,moderately strong,,,"siltstones, sandstones and conglomerates with ash",,"Healy, J. et al. (1964)",,,,,,,5,Approximate value
RUZ,Limestone,weak,,,,"Limestone, in beds about 10m thick, in weak mudstone 1-2km thick. Although the site is limestone the overall conditions are those of weak rock","Cousins, W.J. et al. (1999); Hay, R.F. (1967)",,,,,,,0,
SBRC,Greywacke,strong,,,river gravel & alluvium (Springton Fm),,"NZ Soil Bureau. (1968); Gregg, D.R. (1964)",,,,,,,,Unknown - insufficient subsurface data
SCAC,Greywacke,strong,,,,,"NZ Soil Bureau. (1968); Gregg, D.R. (1964)",,,,,,,,Unknown - insufficient subsurface data
SHFC,Greywacke,strong,,,Windwhistle Fm,,"Wilson, D.D. (1989)",,,,,,,,Unknown - insufficient subsurface data
SIZ,Granite,strong,,,diorite/ tonalite/ amphibolite,"Granitic rock, mapped as diorite","Cousins, W.J. et al. (1999); Watters, W.A; Speden, I.G., & Wood, B.L. (1966)",,,,,,,0,
SJFS,Sandstone,very strong,,,"indurated sandstone, argillite, marble, conglomerate","Same as site 103A, only about 100-200m away","Bowen, F.E. (1964)",,,,,,,20,
SKFS,Basalt,very strong,slightly weathered,,,,"Barker, P.R. (1996); Benson, W.N. (1968)",,,,,,,25,
SOCS,Greywacke,very strong,,,,,"Fry, B. (1980)",,,,,,,15,Minimum value
SPFS,Greywacke,strong,,,Springston Fm,,"Kear, B.S. et al. (1967)",,,,,,,10,"10 m is minimum value, possibly 50 m."
SWNC,Greywacke,strong,,,,,"Wilson, D.D. (1989)",,,,,,,,Unknown - insufficient subsurface data
SYZ,Sandstone,moderately strong,,,"sandstone, mudstone and conglomerate",,"Watters, W.A. et al. (1968)",,,,,,,0,
TACS,Sandstone,moderately strong,,,,,"NZ Soil Bureau job File17.(Held at GNS); Wilson, A.D. (1980); Healy, J. et al. (1964)",,,,,,,25,Approximate value
TAFS,Sandstone,moderately strong,unweathered,,hard - Tertiary sandstone (some conglomerate),Few. Major fault down centre of lake,"Wood, B.L. (1962)",,,,1-20?,,,200,Approximate value
TBAS,Siltstone,weak,,,Pliocene sandy siltstone,Conditions same at all 5 locations in Tolaga Bay,"Rijske, W.C., & Pullar, W.A. (1978)",,,,,,,20,Minimum value
TBCS,Ignimbrite,weak,,,,,"Healy, J. et al. (1964)",,,,,,,120,
TDHS,Siltstone,weak,,,Miocene sandy siltstone,,"Kingma, J.T. (1965)",,,,,,,50,Approximate value
TEPS,Greywacke,moderately strong,moderately weathered,,weak to strong,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,120,Effective bedrock may be c. 90 m
TFSS,Greywacke,moderately strong,,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,150,Approximate value
THPS,Mudstone,weak,,,blue grey mudstone,stiff (weak),"Campbell, I.B. (1979); Kingma, J.T. (1962)",,,,,,,2,
THZ,Greywacke,moderately strong,,,"Permian Greywacke, predominantly siltstone",moderately strong - strong,"Cousins, W.J. et al. (1999); Bowen, F.E. (1964)",,,,,,,0,
TIRS,Ignimbrite,strong,,,,,"Vucetich, C.G Wells, N. (1978)",,,,,,,,Unknown - insufficient subsurface data
TKAS,Greywacke,strong,,,Torlesse Group,,"Gair, H.S. (1967)",,,,,,,0,
TKHS,Siltstone,Weak,,,"siltstone, sandstone, limestone",,"Kear, D. (1960)",,,,,,,40,Approximate value
TMBS,Schist,moderately strong,,,Chlorite Subzone 2 (Haast Schist Grp),,"Barrell, D.J. et al. (1998); McKellar, I.C. (1966)",,,,,,,5,Approximate value
TMDS,Greywacke,moderately weak,moderately weathered,,,,"Kingma, J.T. (1967)",,,,,,,10,
TMHS,Andesite,weak,,,,,"NZ Soil Bureau Job Files 33 & 53 - Thames Hospital Bore 7 (Held at GNS); Schofield, J.C. (1967)",,,,,,,20,Approximate value
TOZ,Siltstone,moderately strong,,,"siltstone, sandstone & conglomerate",,"Healy, J. et al. (1964)",,,,,,,0,
TPLC,Greywacke,strong,,,,,"Wilson, D.D. (1989)",,,,,,,,Unknown - insufficient subsurface data
TPPS,Siltstone,moderately strong,,,siltstone / pumice breccia,Huka formation,"Grindley, G.W. (1960)",,,,,,,30,"10 - 50 m, may be effective bedrock at 50 m, possibly less"
TRCS,Siltstone,weak,,,,weak to strong,"Gair, H.S. (1967); Brown, L.J. (1981)",,,,,,,25,Minimum value
TSFS,Limestone,strong,slightly weathered,,Tertiary. ,,"Grindley, G.W. (1961); Grindley, G.W. (1971)",,,,,,,0,
TSZ,Greywacke,moderately strong,,,alternating argilites and sandstone (Kaweka Greywacke Grp),,"Kingma, J.T. (1962)",,,,,,,0,
TTHS,Andesite,strong,,,,,"Barker, P.R. (1997); Grindley, G.W. (1960)",,,,,,,,Unknown - insufficient subsurface data
TUDS,Sandstone,weak,,,Tertiary sandstone/siltstone,,"Grindley, G.W. (1960)",,,4,,,,7,5 to 10 m
TUHS,Mudstone,weak,,,Mahoenui mudstone,,"Hay, R.F. (1967)",,,,,,,5,Minimum value - incomplete subsurface data
TUZ,Schist,moderately strong,,,Haast Schist (low grade). ,Weathered in top 10-20m.,"Cousins, W.J. et al. (1999)",,,,,,,0,
TWAS,Greywacke,strong,,,,,"Gair, H.S. (1967)",,,,,,,,Unknown - insufficient subsurface data
UHCS,Greywacke,strong,,,,,"Fry, B. (1980)",,,,,,,75,Approximate value
URZ,Greywacke,moderately strong,,,Urewera Greywacke,,"Healy, J. et al. (1964)",,,,,,,0,
URZ (old),Greywacke,moderately strong,,,Urewera Greywacke,,"Cousins, W.J. et al. (1999); Healy, J. et al. (1964)",,,,,,,0,
VRZ,Mudstone,moderately strong,,,mudstone / sandstone,,"Hay, R.F. (1967)",,,,,,,0,
WAIS,Rhyolite,moderately strong,,,Haparangi Rhyolitic pumice,,"Grindley, G.W. (1960)",,,,,,,,Unknown - insufficient subsurface data
WAKC,Greywacke,strong,,,,,"NZ Soil Bureau. (1968); Gregg, D.R. (1964)",,,,,,,,Unknown - insufficient subsurface data
WAKS,Siltstone,moderately strong,,,calcareous siltstones & sandstone,,"Kingma, J.T. (1962)",,,,,,,,Unknown - insufficient subsurface data
WAZ,Siltstone,weak,,,"sand, shellbeds, limestone, lignite bnds & siltstone ",,"Lensen, G.J. (1959)",,,,,,,0,
WBCS,Siltstone,strong,slightly weathered,,siltstone (Tertiary),Poor gound conditions on unconsolidated alluvium,"Nathan, S. (1976)",,,,,,,105,Minimum value
WBFS,Mudstone,weak,,,"Weber Formation, Oligocene",stiff soil / weak rock,"Kingma, J.T. (1962)",,,,,500,>,20,Approximate value
WBHS,Basalt,strong,,,,,"White, P.J., & Perrin, N.D. (2003)",,,,,,,0,
WCDS,Siltstone,weak,unweathered  ,,Tertiary grey siltstone,Taken to be same as Post Office site NEEDS TO BE CONFIRMED,"Lensen, G.J. (1959)",,,,,,,32,Approximate value
WCZ,Greywacke,moderately strong,,,,,"Cousins, W.J. et al. (1999)",,,,,,,0,
WDAS,Greywacke,moderately strong,slightly weathered,,SW-UW Argillite (at drillhole),"Fissile, brecciated and partly re-indurated","Stephenson, W.R., & Barker, P.R. (1992)",,,,,1000,,62,
WDFS,Siltstone,weak,,,siltstone/ sandstone.,,"Lensen, G.J. (1962)",,,,,,,20,
WDPS,Mudstone,moderately weak,,,Tertiary mudstone/ sandstone,,"Lillie, A.R. (1953)",,,,,,,100,Approximate value
WEL,Greywacke,weak,highly weathered,,"deeply weathered, may be weak to moderately strong in top 30-40m",,"Cousins, W.J. et al. (1999)",,,,,,,0,
WEMS,Greywacke,moderately strong,,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,120,Approximate value
WHZ,Greywacke,moderately strong,,,"Triassic sandstone (Greywacke), about 300m thick over granite",moderately strong - strong -Weathered near surface?,"Cousins, W.J. et al. (1999)",,,,,,,0,
WICS,Mudstone,moderately strong,,,,,"Barker, P.R. (1994); Kingma, J.T. (1964); Pender, M., & Larkin, T. (1994)",,,,,,,100,Approximate value
WIGC,Greywacke,strong,,,,,"NZ Soil Bureau. (1968); Gregg, D.R. (1964)",,,,,,,,Unknown - insufficient subsurface data
WKHS,Greywacke,moderately strong,,,Urewera Greywacke,SCPT probe reached 7.5m at neighbouring Rex Morpeth Park before progress stopped by accumulation of side friction.,"Barker, P.R. (1995); Beetham, R.D. et al. (2004); Healy, J. et al. (1964)",,,,,,,15,Approximate value
WKZ,,,,,,,"Wood, B.L. (1962)",,,,,,,0,
WLZ,Greywacke,moderately strong,slightly weathered,,"Jurassic Greywcke (siltstone),",,"Cousins, W.J. et al. (1999)",,,,,,,0,
WNAS,Greywacke,strong,,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,64,Effective bedrock possibly c. 40 m
WNHS,Greywacke,weak,completely weathered,,"red weathered Greywacke/ gravel,  scree",,"Grant-Taylor, T.L. et al. (1974); Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,3,Maximum value
WNKS,Greywacke,moderately strong,,,,,"Begg, J,G., & Mazengarb, C. (1996)",,,,,,,50,Approximate value
WNPS,Schist,strong,,,,,"Leamy, M.L. & Saunders, W.M.H. 1967. Soils and land use in the upper Clutha Valley, Otago. New Zealand Soil Bureau Bulletin 28.; Wood, B.L. (1962)",,,,,,,300,Approximate value
WPBS,Basalt,strong,,,basalt (Lyttleton basalt),,"Brown, L.J., & Weeber, J.H. (1992)",,,,,,,800,"c. 800 m, 75 m to effective bedrock?"
WPWS,Mudstone,moderately strong,,,,,"Barker, P.R. (1994); Kingma, J.T. (1971)",,,,,,,10,Minimum value
WRCS,Mudstone,moderately strong,slightly weathered,,"Tertiary calcareous sandy mudstone,""Papa""",slightly - moderately weathered,"Kingma, J.T. (1967)",,,,,,,100,Possibly effective bedrock at c. 50 m
WSFC,Greywacke,very strong,,,Andesite/ Greywacke - Tertiary,,"NZ Soil Bureau. (1968); Suggate, R.P. (1973)",,,,,,,,Unknown - insufficient subsurface data
WTMC,Siltstone,strong,,,calcareous siltstone  and sandstone,,"NZ Soil Bureau. (1968); Gregg, D.R. (1964)",,,,,,,,Unknown - insufficient subsurface data
WVAS,Granite,strong,,,,,"Warren, G. (1967)",,,,,,,10,Minimum value
WVFS,Greywacke,strong,,,,,"Lensen, G.J. (1962)",,,,,,,10,Minimum value
WVHS,Mudstone,weak,,,Tertiary mudstone and sandstone (Rapanui Fm),,"Lensen, G.J. (1959)",,,,,,,12,Maximum value
WVZ,Granite,strong,,,,"Small outcrop of ice-scraped granite in valley floor, part of the granite that forms the hills on the west side of the Alpine fault in this area","Cousins, W.J. et al. (1999); Warren, G. (1967)",,,,,,,0,
WVZS,Granite,strong,,,,,"Warren, G. (1967)",,,,,,,0,
