Station,", Site Name ( 10)",", Site Stability ( )",", Water Table (Depth (m) )",", ""Notes"" (Description of Building or Instrument Housing)",", Topography ( )",", Nearby Faults ( )"
INGS,Inangahua Fire Station,stable,,"Concrete floor of light, 1-storey, garage with timber-framed and clad walls, galvanised iron roof (about 10m x 10m)",Flat site on floor of 1km wide Buller River valley. Confluence of 2 narrow river valleys in hilly country.,"Inangahua (c. 1 km), Lyell (c. 6 km), White Creek (c. 16 km) "
INHS,Inglewood High School,Stable,,"Concrete basement floor of timber-framed boiler house, with basement floor c. 1 m below ground level, concrete block walls to ground level.",Flat ring-plain east of Mt Egmont,"Inglewood (c. 0.9 km), Norfolk (c. 5 km) "
INSS,Lower Hutt INS GNS (Boiler Room),Stable,,"Concrete floor of 2m deep pipe tunnel beneath 1 storey timber framed building, weatherboard cladding, galvanised iron roof.",Rock site cut into hillside to east of Hutt Valley,"Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
JACS,Jackson Bay,Low Landslide Susceptibility,,"Concrete floor of light, 1-storey, garage with timber frame and corrugated-iron clad walls and roof.","Slightly elevated beach terrace, close to side of steep ridge",Alpine (Fiordland-Kaniere) (c. 13 km) 
JCZ,Jackson Bay,Low Landslide Susceptibility,,On concrete floor of purpose-built instrument vault,Crest of steep mountain ridge,Alpine (Fiordland-Kaniere) (c. 4 km) 
KAFS,Kawerau Fire Station,Stable,,"Concrete floor of light, 1-storey building (timber frame, hard-board lining, steel cladding, corrugated-iron roof)","Broad river valley (about 2km wide), floodplain of the Tarawera River","Edgecumbe 1987 (c. 2 km), Rotoiti (c. 4 km), Braemar (c. 7 km), Waiohau N (c. 8 km), Awakeri (c. 10 km)"
KAPS,Auckland Kauri Point,Stable,,"Free field site. On floor of 3m diameter concrete ""water tank"" resting on bedrock. The ""tank"" houses a variety of communications equipment.","Flat site, approximately 100m from coastal cliff",Wairoa N (c. 33 km) 
KARS,Karamea School,Low Liquefaction Susceptibility,,Concrete floor of 1-storey building with concrete-block walls and iron roof,"Flat coastal plain (about 3km x 5km), floodplain of Karamea River.",White Creek (c. 8 km) 
KFHS,Kaweka Forest Headquarters,Low Landslide Susceptibility,,"Concrete floor of light, 1-storey, wooden building with iron roof (about 10m x 30m)",Near crest of low ridge in rolling hill country,"Mohaka N (c. 1 km), Patoka-Rangiora (c. 4 km), Ruahine N (c. 5 km), Ruahine C (c. 13 km), Kaweka (c. 13 km)"
KHZ,Kahutara,Stable,,On concrete floor of purpose-built instrument vault,Near base of very steep rock face,"Hope-Conway (c. 6 km), Hope-Conway OS (c. 6 km), Hundalee (c. 8 km), North Canterbury 13 (c. 14 km), Jordan-Kekerengu-Chancet-SF (c. 18 km)"
KIKS,Kaikoura South Bay,Stable,,Concrete floor of single storey building with concrete block walls & lightweight roof,Outcrop of limestone close to seashore,"Hundalee (c. 2 km), MS05 (c. 10 km), Hope-Conway (c. 11 km), Hope-Conway OS (c. 11 km), Jordan-Kekerengu-Chancet-SF (c. 14 km)"
KIRS,Kaitoke Kiwi Ranch,Low Landslide Susceptibility,,"Concrete floor of light, 1-storey, timber-framed building with light cladding",Part-way up ridge in low hill country adjacent to Tararua Range,"Wellington (Tararua East) (c. 0.3 km), Wellington (Hutt Valley) (c. 3 km), Wairarapa-Nicholson (c. 8 km), Moonshine (c. 11 km), Akatarawa-Otaki (c. 11 km)"
KLDS,Kikiwa Line Depot,Stable,20,"Concrete floor of light, 1-storey, timber-framed, steel-clad, industrial building",Terraced river valley (about 1km wide) in hilly country.,"Waimea S (c. 3 km), Wairau (c. 12 km), Alpine (Kaniere-Tophouse) (c. 14 km) "
KNZ,Kokohu,Stable,,On concrete floor of purpose-built instrument vault,Near base of steep rock spur,"Hikurangi Subduction Zone, Raukumara F2 (c. 11 km) "
KOKS,Kokatahi,Stable,,"Concrete floor light farm outbuilding, timber frame, galvanised iron cladding and roof",Flat floor of broad alluvial valley.,"Alpine (Fiordland-Kaniere) (c. 0.7 km), Alpine (Kaniere-Tophouse) (c. 2 km), Kelly (c. 2 km), Browning (c. 16 km), Brunner  Anticline (c. 20 km)"
KOWC,Kowai,Stable,,Concrete floor of large (c. 10 m x 30 m) iron clad shed.,"Canterbury Plains, 1 km from range front , 1 km from the Kowai River and terraces.","Springfield (c. 1 km), Porters-Grey (c. 4 km), Torlesse (c. 12 km), Cheeseman (c. 16 km), Cust (c. 16 km)"
KPOC,Kaiapoi North School,Stable,,"Concrete floor of ""Skyline"" type garage (light timber frame, iron cladding).","Canterbury Plains, 4 km from coast and 1 km from Kaiapoi River","Pegasus1NW (c. 9 km), Ashley (c. 17 km), Springbank (c. 17 km) "
KUZ,Kuaotunu,Stable,,On concrete floor of purpose-built instrument vault,Base of gully in moderately steep hill country,Mayr 2 (c. 57 km) 
LBZ,Lake Benmore,Stable,,On concrete floor of purpose-built instrument vault,Gently rolling plain,"Ostler (c. 16 km), Fern Gully (c. 19 km) "
LHBS,Lower Hutt Beethams,Stable,,"Concrete floor of garage attached to single-storied timber-fame house, stucco wall cladding, iron roof cladding",Near crest of ridge. Topographic effects expected.,"Wellington (Hutt Valley) (c. 0.9 km), Moonshine (c. 4 km), Ohariu S (c. 8 km), Ohariu C (c. 9 km), Whitemans (c. 9 km)"
LHES,Lower Hutt Emergency Management Office,Stable,2,On concrete ground floor of 2 storied steel framed light weight building,"Flat ground on valley floor, ~500m from western side of Hutt Valley.","Wellington (Hutt Valley) (c. 1 km), Moonshine (c. 6 km), Whitemans (c. 7 km), Ohariu S (c. 10 km), Ohariu C (c. 11 km)"
LHRS,Lower Hutt Normandale Rock Site,Stable,,"Concrete floor of light, 1-storey, garage, concrete walls to 1m height then timber-frame, steel cladding (7m x 9m)",Near crest of broad low ridge. Topographic effects unlikely.,"Wellington (Hutt Valley) (c. 0.5 km), Moonshine (c. 5 km), Ohariu S (c. 8 km), Whitemans (c. 8 km), Ohariu C (c. 10 km)"
LHUS,Lower Hutt Unilever,Stable,,"Concrete floor in 1-storey, steel-framed, steel-clad, factory building","Flat land in 4km-wide alluvial valley, 200m from Hutt river and shoreline","Wellington (Hutt Valley) (c. 2 km), Whitemans (c. 7 km), Moonshine (c. 7 km), Ohariu S (c. 10 km), Ohariu C (c. 13 km)"
LIHR,Papua New Guinea Lihir Mine,Stable,,"Purpose-built instrument shelter, instrument on concrete pad cast on rock outcrop.",Top of seaside cliffs,Aldeman (c. 4037 km) 
LINC,Lincoln Crop & Food Research,Stable,,"Concrete floor of small ""Skyline"" type shed (light timber frame, iron cladding).","Canterbury Plains, 30 km from the range front, 20 km from the coast.",Springbank (c. 32 km) 
LMZ,Lake Moeraki,Stable,,On concrete floor of purpose-built instrument vault,Part-way up moderately steep rock spur,Alpine (Fiordland-Kaniere) (c. 9 km) 
LPCC,Lyttelton Port Company,Stable,,"Concrete floor of 2-storey RC-frame building, c. 10 m x 20 m.",Flat ground adjacent to Lyttleton Harbour.,Pegasus1NW (c. 30 km) 
LPLS,Lake Paringa Heritage Lodge,Stable,,"Concrete floor of small, light, 1-storey shed, timber framed and clad walls, galvanised iron roof (about 2m x 2m)",On flat land near Lake Paringa. ,Alpine (Fiordland-Kaniere) (c. 2 km) 
LRSC,Lauriston,Stable,,"Concrete floor of small ""Skyline"" type shed (light timber frame, iron cladding). Water pump installed.","Centre of Canterbury Plains, 30 km from range front & 35 km from coast.",Hororata (c. 20 km) 
LSRC,Lake Sumner Road,Low Landslide Susceptibility,,"Concrete floor of ""Skyline"" type garage (light timber frame, iron cladding).",Canterbury Plains.,"Waitohi (c. 2 km), Esk (c. 10 km), Lowry (c. 13 km), Kaiwara S (c. 17 km), "
LTZ,Lake Taylor,Stable,,On concrete floor of purpose-built instrument vault,Crest of broad ridge in steep hill country,"Kakapo (c. 10 km), Esk (c. 14 km), Poulter (c. 16 km), Hope 1888 (c. 17 km), Hope CW (c. 17 km)"
MAGS,Auckland Mt Albert Grammar,Stable,,"Concrete floor of 1-storey workshop, concrete block walls, iron roof, adjacent to large 2-storey timber school buildings",Flat land,Wairoa N (c. 28 km) 
MANS,Manapouri Power Station (Meridian),Stable,,Concrete ground floor of single-storey reinforced concrete building,"Rock site, cut bench near base of steep hillside",Te Anau (c. 27 km) 
MAVS,Martinborough Wines Vinyard,Stable,,Concrete floor of wine cellar.,Several kilometre wide river floodplain surrounded by low hill country,"Martinborough (c. 0.7 km), Bidwill (c. 3 km), Dry Huangaroa (c. 5 km), Otaraia (c. 10 km), Wairarapa-Nicholson (c. 16 km)"
MAYC,Mayfield School,Stable,,"Concrete floor of Caretaker's shed (light timber frame, iron and timber cladding).","Canterbury Plains, 15 km from the range front.",Hutt-Peel (c. 5 km) 
MCAS,Murchison Area School,Stable,10,"Concrete floor of light, high-stud 1-storey, timber-framed gymnasium complex, timber clad walls, iron roof.","Flat site, degradational terrace in outwash gravels, middle of 2-3km wide valley at confluence of several rivers.","White Creek (c. 12 km), Lyell (c. 20 km) "
MCPS,Mount Cook National Park Headquarters,Low Landslide Susceptibility,,"Concrete floor of basement of 2-storey building, timber-framed, iron wall and roof cladding",Undulating ground close to foot of steep slope,Ostler (c. 24 km) 
MECS,Makarora Emergency Centre,Low Landslide Susceptibility,,"Concrete floor of light, 1-storey garage, timber-framed, corrugated iron cladding and roof",Floor of 1km wide valley of Makarora River,Ahuriri River (c. 31 km) 
MGCS,Blenheim Marlborough Girls College,Stable,,"Concrete floor of light, 1-storey, timber-framed, fibrolite-clad, iron-roofed annex to 2-storey school gymnasium ",Flat site on 12km wide flood plain of Wairau/Taylor rivers.,"Wairau (c. 4 km), Wairau Offshore (c. 11 km), Awatere NE (c. 16 km) "
MISS,Wellington Miramar School,Stable,1.1,"Concrete floor of 2 storey timber frame building, weatherboard cladding, corrugated iron roof.",Flat site near centre of 0.5 km wide valley. Alluvial basin.,"Wellington (Hutt Valley) (c. 6 km), Whitemans (c. 8 km), Ohariu S (c. 10 km), Moonshine (c. 12 km), Pukerua-Shepherds (c. 13 km)"
MLZ,Mavora Lakes,Stable,,On concrete floor of purpose-built instrument vault,Part-way up moderately steep hill,Moonlight S (c. 4 km) 
MMCS,Matamata College,Stable,,"Concrete floor of light, 1-storey, timber-framed and clad building, iron roof","Near centre of flat, about 10km wide,  alluvial valley","Kerepehi S (c. 4 km), Kerepehi C (c. 13 km) "
MNG,Mangahao,Stable,,On concrete floor of purpose-built instrument vault,Base of rock ridge in steep mountain ranges,"North Ohariu (c. 2 km), Wellington (Pahiatua) (c. 7 km), Shannon A (c. 8 km), Wellington (Tararua East) (c. 9 km), Akatarawa-Otaki (c. 9 km)"
MNGS,Mangaweka School,Stable,,"Concrete floor of light, 1-storey, timber-framed building. Steel clad walls and roof.","River terrace, about 1km wide, in rolling hill country. Alongside the Rangitikei River.","Rangitikei (c. 8 km), Taihape (c. 13 km), Mataroa (c. 13 km) "
MOA,Motea,Stable,,On concrete floor of purpose-built instrument vault,Short distance up moderately steep hill face,"Alfredton-Makuri (c. 7 km), Saunders-Waipukaka (c. 9 km), Pongaroa-Weber (c. 12 km), Oruawharo (c. 12 km), Waipukurau-Poukawa (c. 12 km)"
MOLS,Molesworth Station,Stable,,Concrete floor of single storey light wooden building,Flat terrace (about 2km x 2km) in valley of Awatere River. Surrounded by steep hill country.,"Barefell (c. 1 km), Awatere SW (c. 2 km), Awatere NE (c. 5 km), Clarence C (c. 13 km), Clarence NE (c. 16 km)"
MOSS,Mossburn School,Stable,,"Concrete floor of light, 1-storey, timber framed building (weatherboard garage)",Broad floodplain,"Takitimu 2 (c. 0.3 km), Hokonui (c. 5 km), Takitimu 1 (c. 20 km) "
MOTS,Motueka DOC,Stable,,"Concrete floor of light, 1-storey, wooden building with iron roof",Flat alluvial plain near coast,Waimea N (c. 30 km) 
MOZ,Mahoenui,Stable,,On concrete floor of purpose-built instrument vault,Base of rock ridge in hill country,Turi N (c. 19 km) 
MQZ,McQueen's Valley,Stable,,On concrete floor of purpose-built instrument vault,On broad terrace in moderately steep hill country,Pegasus1NW (c. 42 km) 
MRZ,Mangatainoka River,Stable,,On concrete floor of purpose-built instrument vault,Base of rock ridge in steep mountain ranges,"Wellington (Pahiatua) (c. 2 km), Wellington (Tararua East) (c. 6 km), Akatarawa-Otaki (c. 12 km), North Ohariu (c. 12 km), Wairarapa-Nicholson (c. 16 km)"
MSMC,Mount Somers School,Stable,,"Concrete floor of ""Skyline"" type garage (light timber frame, iron cladding).","Canterbury Plains, 5 km from range front and 1 km from terreaces of Ashburton River.","Hutt-Peel (c. 2 km), Hororata (c. 11 km) "
MSZ,Milford Sound,Stable,,Concrete instrument vault,"On crest of very steep spur, topographic effects possible","Hollyford (c. 13 km), Alpine (Fiordland-Kaniere) (c. 18 km) "
MSZS,Milford Sound,Low Landslide Susceptibility,,"Concrete floor in basement of light timber framed shed, weatherboard walls, corrugated iron roof.",Gently sloping alluvial site 2m from side of steep rock spur,"Hollyford (c. 13 km), Alpine (Fiordland-Kaniere) (c. 18 km) "
MTDS,Maraetai Dam,Stable,,"Concrete floor of tunnel cut into rock wall of gorge, c. 2 m from entrance.",Part-way down side wall of near-vertical sided gorge of Waikato River,Whangamata W (c. 29 km) 
MWDS,Moawhango Dam,Stable,,"Adjacent to concrete arch dam (34m high, 150m long at crest). Free field site in (c. 20m) rock adit in side of gorge level with crest of dam.",Steep sided rock gorge,"Rangipo S (c. 4 km), Rangipo N (c. 4 km), Rangipo C12 (c. 4 km), Shawcroft Rd (c. 8 km), Karioi (c. 12 km)"
MWFS,Matata Watchorn Shed,Stable,,"Concrete floor of large (c. 8 m x 16 m ) shed, timber frame, iron cladding",Side of gully (mid-height) in moderately steep hill country,"Rurima A (c. 8 km), Matata (c. 9 km), Braemar (c. 11 km), Rotoiti (c. 20 km), Edgecumbe 1987 (c. 20 km)"
MWZ,Matawai,Stable,,On concrete floor of purpose-built instrument vault,Crest of narrow and steep-sided ridge,"Urewera 2 (c. 1 km), Urewera 3 (c. 5 km), Urewera 1 (c. 5 km), Raukumara F9 (c. 15 km), Wairata (c. 16 km)"
MXZ,Matakaoa Point,Stable,,On concrete floor of purpose-built instrument vault,Part way up moderately steep hill,Raukumara F26 (c. 18 km) 
NAMS,Napier Hawke's Bay Museum,Stable,,Ground (concrete) floor of large 2-storey reinforced concrete building (r-c frame and walls) (Approximate dimensions 20m x 40m),Beach ridge (gravel) 100m from the foot of Bluff Hill (limestone),Napier 1931 (c. 4 km) 
NCBS,Nelson Council Building,Stable,,At base of reinforced concrete tubular stair-well and clocktower on outside corner of 7 storey reinforced concrete frame building,Flat land (site on 1850 shoreland),Waimea N (c. 4 km) 
NCDS,Napier Civil Defence,Stable,,"Concrete floor of 1-storey building, concrete block wall to 1.5m, then steel & timber framing, galvanised-iron cladding and roof. (Approximate dimensions 25m x 35m)",Flat site on reclaimed harbour bed,Napier 1931 (c. 6 km) 
NCHS,Napier Colenso High School,Stable,,Concrete floor of 1-storey building with concrete-block walls and iron roof (about 8m x 15m),Flat site on floodplain of Tutaekuri River.,Napier 1931 (c. 4 km) 
NELS,Nelson Hospital,Low Landslide Susceptibility,,Concrete ground floor of 1-storey garage with concrete-block walls,Gently sloping,Waimea N (c. 3 km) 
NGHS,Napier Girls High School,Stable,,"Concrete floor of reinforced-concrete boiler house beneath 2-storey wooden building with corrugated-iron roof. Shear walls of boiler house approx. 600mm thick. Approximate dimensions of boiler house 8m x 9m (inside), main building 12m x 70m","On top of 1km wide, 2.5km long, deeply dissected, limestone hill",Napier 1931 (c. 4 km) 
NLMS,Nelson NELMAC (Nelson Depot),Stable,1.4,"Concrete floor of 1-storey, concrete-block industrial building. ","Small (1km) delta / floodplain, coastal area adjoining hilly terrain.",Waimea N (c. 5 km) 
NMPS,Ngawihi Moana Pacific Fisheries,Low Landslide Susceptibility,,"Concrete floor of light, 1-storey, timber-framed, fibrolite-clad, industrial building",Narrow (about 200m wide) coastal plain (raised beach),"Hikurangi Subduction Zone, BooBoo (c. 9 km), Ngapotiki (c. 11 km), Otaraia (c. 11 km), Dry Huangaroa (c. 14 km)"
NNBS,Christchurch North New Brighton School,Stable,,"Concrete floor of 1-storey garage, concrete-block walls, steel roof. In room 1m x 5m on side of 5m x 5m building",Flat alluvial plain (floodplain of Waimakariri River). Within 1km of shoreline.,Pegasus1NW (c. 18 km) 
NNZ,Nelson,Stable,,On concrete floor of purpose-built instrument vault,"Small terrace near crest of moderately steep, broad, ridge",Waimea N (c. 5 km) 
NPCS,New Plymouth Civil Defence,Low Landslide Susceptibility,,"Concrete floor in basement beneath 1-storey, timber frame,""house-type"" building",Gently sloping land near crest of low hill,"Turi S (c. 11 km), Inglewood (c. 13 km), Norfolk (c. 19 km) "
NSBS,Neil's Beach Westland,Low Liquefaction Susceptibility,,On concrete floor of small iron-clad shed,Flat land,Alpine (Fiordland-Kaniere) (c. 9 km) 
NSPS,Napier St. Pauls,Stable,,Concrete floor of very small wooden shed attached to main church building,Cut into sloping land at base of Bluff Hill,Napier 1931 (c. 4 km) 
NWFS,Ngawihi Fire Station,Low Landslide Susceptibility,,"Concrete floor of light timber building, iron roof cladding.",Narrow (about 200m wide) coastal plain (raised beach),"Hikurangi Subduction Zone, BooBoo (c. 7 km), Ngapotiki (c. 10 km), Otaraia (c. 13 km), Dry Huangaroa (c. 16 km)"
OAMS,Oamaru North Otago Museum,Stable,,On concrete floor of single storied reinforced concrete annex to massive stone building,"Coastal platform, 4m above sea level",Stonewall (c. 32 km) 
ODZ,Otahua Downs,Stable,,On concrete floor of purpose-built instrument vault,Terrace adjacent to c. 5m high bank,Stonewall (c. 23 km) 
OHKS,Ohakuri Hydro,Stable,,Inside gallery near base of concrete gravity dam,In gorge of Waikato River,"Tuahu (c. 2 km), Maleme (c. 3 km), Ohakuri (c. 3 km), Puketerata (c. 5 km), Mangatete (c. 9 km)"
OIZ,Oio,Stable,,On concrete floor of purpose-built instrument vault,Terrace close to rock face,"Raurimu (c. 10 km), National Park (c. 11 km) "
ONIS,Oaonui School,Stable,,"Concrete floor of ""Skyline"" type shed, timber frame, iron cladding",Broad coastal plain west of Mt Egmont,"Oaonui (c. 3 km), Cape Egmont N (c. 7 km) "
OPCS,Opotiki College,Low Liquefaction Susceptibility,,"Concrete floor of light, timber-framed building, one storey. Steel clad walls and roof. About 10m x 20m.",Flat alluvial plain between two rivers.,"Raukumara F13 (c. 5 km), Urewera 3 (c. 9 km), Waikaremoana (c. 10 km), Raukumara F15 (c. 14 km), Waimana N (c. 15 km)"
ORCS,Ohakune Ruapehu College,Stable,,"Concrete floor of light, 1-storey, timber-framed building. Steel clad walls and roof.","Volcanic plain, undulating plain bounded by faults on the northern side.","Ohakune (c. 2 km), Raetihi (c. 5 km), Karioi (c. 7 km), Waipuna (c. 8 km), Raurimu (c. 9 km)"
OTKS,Otaki School,Stable,,"Concrete floor of 1-storey, light, timber framed building. The floor is 1m below ground level, and the walls are reinforced concrete to 1.2m height",Flat alluvial plain (floodplain of Otaki River),"North Ohariu (c. 3 km), Poroutawhao (c. 4 km), Ohariu C (c. 5 km), Akatarawa-Otaki (c. 15 km), Levin Anticline (c. 18 km)"
OUZ,Omahuta,Stable,,On concrete floor of purpose-built instrument vault,Gently sloping ground,Wairoa N (c. 233 km) 
PAPS,Paraparaumu Primary School,Stable,,"Mounted on concrete floor of concrete block half-basement (floor 1.2m depth below ground level) beneath single storey timber-frame building. Brick veneer cladding, iron roof. 4m x 6m.","Flat coastal plain, about 4km wide","Ohariu C (c. 2 km), Pukerua-Shepherds (c. 6 km), Wairau Offshore (c. 13 km), Akatarawa-Otaki (c. 14 km), Moonshine (c. 15 km)"
PEEC,Peel Forest,Stable,,"Concrete floor of partly open workshop building (light timber frame, iron cladding).","Canterbury Plains, 300m from range front.","Hutt-Peel (c. 0.9 km), Quartz Creek (c. 19 km) "
PFAS,Porirua Free Ambulance Depot,Low Landslide Susceptibility,,Concrete floor of one-storey building of mixed concrete block and timber framed construction. NB: Different building to 707A,Gently undulating land in hills to east of Porirua valley,"Ohariu S (c. 1 km), Ohariu C (c. 2 km), Moonshine (c. 3 km), Pukerua-Shepherds (c. 4 km), Wellington (Hutt Valley) (c. 8 km)"
PGFS,Porongahau Fire Station,Stable,,"Concrete floor of light, 1-storey, timber-framed building, weatherboard and fibrolite cladding, iron roof","Floor of 1km wide alluvial valley, 200m from northern side.","Hikurangi Subduction Zone, Kidnappers Anticline (c. 20 km) "
PGMS,Petone Municipal Building(now Settlers Museum Office),Stable,,Concrete floor in concrete block basement of light timber framed building,"Flat ground on valley floor. Near centre of Hutt Valley, c. 500m from shoreline.","Wellington (Hutt Valley) (c. 1 km), Moonshine (c. 6 km), Whitemans (c. 8 km), Ohariu S (c. 9 km), Ohariu C (c. 12 km)"
PHFS,Lower Hutt Point Howard Fire Station,Stable,,"Concrete floor of 1-storey building, reinforced concrete shear-wall construction, iron roof.",Near (top) edge of 20m high sea cliff,"Wellington (Hutt Valley) (c. 5 km), Whitemans (c. 5 km), Moonshine (c. 10 km), Ohariu S (c. 12 km), Wairarapa-Nicholson (c. 14 km)"
PKIS,Pukaki Hydro (Meridian),Stable,,Concrete floor of concrete-masonry walled shed,Flat valley floor near base of earth dam,"Ostler (c. 7 km), Irishman Creek (c. 11 km) "
PNBS,Palmerston North Boy's High School,Stable,,"Concrete floor of (effective) 2-storey, concrete-panel clad, gymnasium",Flat site on flood plain of Manawatu River,"Pahongina Anticline (c. 6 km), North Ohariu (c. 13 km), Wellington (Pahiatua) (c. 14 km), Feilding Anticline (c. 14 km), Mt Stewart (c. 15 km)"
POLS,Porirua Library,Stable,,"Concrete floor of large high-stud building with mix of RC and steel columns, generally light construction.","Flat land adjacent to harbour in Porirua valley, about 200m from shoreline.","Ohariu S (c. 0.5 km), Ohariu C (c. 1 km), Pukerua-Shepherds (c. 3 km), Moonshine (c. 4 km), Wellington (Hutt Valley) (c. 9 km)"
POTS,Wellington Pottery Association,Low Landslide Susceptibility,,Concrete floor of reinforced concrete sub basement beneath single storied wooden building,"Toe of fault line scarp, at base of Tinakori Hill.","Wellington (Hutt Valley) (c. 0.1 km), Ohariu S (c. 5 km), Moonshine (c. 7 km), Pukerua-Shepherds (c. 8 km), Whitemans (c. 13 km)"
PPHS,Christchurch Papanui High School,Stable,,"Concrete floor of light, 1-storey (high-stud), timber-framed building, fibrolite and steel wall cladding, iron roof. Walls concrete to 0.6m.",Flat alluvial plain (floodplain of Waimakariri River).,Pegasus1NW (c. 21 km) 
PRPC,Pages Road Pumping Station,Stable,,Concrete floor of concrete masonry storage shed (c. 4 m x 9 m).,Canterbury Plains.,Pegasus1NW (c. 22 km) 
PTHS,Auckland Papatoetoe High School,Stable,,"Concrete floor of light, 2-storey, school building, timber-framed, fibrolite wall cladding, iron roof.",Very gently rolling terrain,Wairoa N (c. 14 km) 
PUZ,Puketiti,Stable,,On concrete floor of purpose-built instrument vault,On ledge about 5 m below crest of rock outcrop,"Fernside F28 (c. 9 km), Raukumara F27 (c. 12 km), Raukumara F30 (c. 13 km) "
PXZ,Pawanui,Stable,,On concrete floor of purpose-built instrument vault,"Onside of hill, near base, in rolling hill country","Hikurangi Subduction Zone, Kidnappers Anticline (c. 7 km) "
QCCS,Picton Queen Charlotte College,Stable,,"Concrete floor of light, 1-storey, timber-framed school building with iron roof.",Floor of 500m wide valley in low hill country,"Wairau Offshore (c. 16 km), Wairau (c. 19 km) "
QRZ,Quartz Range,Stable,,On concrete floor of purpose-built instrument vault,Crest of broad ridge in moderately steep hill country,White Creek (c. 29 km) 
QTPS,Queenstown Police Station,Low Landslide Susceptibility,,Concrete floor of building with concrete block walls.,Flat site on side of lake,"Moonlight N (c. 9 km), Nevis (c. 20 km), Cardrona S (c. 20 km) "
RDCS,Reefton DOC,Stable,,"Concrete floor of light, 1-storey, timber-framed building with steel-clad walls and roof.",Flat site on floor of broad (2km wide) fluvial valley in low hill country.,"Maimai (c. 11 km), Inangahua (c. 14 km) "
REHS,Christchurch Resthaven,Stable,1,Concrete floor of small timber framed shed,Flat land near edge of historical swamp.,Pegasus1NW (c. 23 km) 
RKAC,Rakaia School,Stable,,Concrete floor of concrete masonry boiler shed.,"Canterbury Plains, 200m from terrace edge, equidistant to mountains and sea.",Hororata (c. 31 km) 
ROLC,Rolleston School,Stable,,"Concrete floor of ""Skyline"" type garage (light timber frame, iron cladding).","Canterbury Plains, 34 km from range front & 17 km from Banks Peninsula",Springbank (c. 27 km) 
ROPS,Rotorua Police Station,Stable,,Concrete floor of single-storey reinforced-concrete (shear wall) store-room. Site near one end of building. Part of station complex of 4 substantial buildings. (Approximate dimensions 5m x 40m for the building housing the accelerograph),Flat land near lake shore,"Horohoro (c. 4 km), Ngakuru SW (c. 7 km), Ngakuru New (c. 8 km), Maleme (c. 17 km), Whirinaki E (c. 18 km)"
RPCS,Reporoa College,Stable,,"Concrete ground floor of 2-storey building, concrete-block walls ground floor, timber-frame / fibrolite-clad upper storey, iron roof.",Flat land near centre of in-filled caudera,"Paeroa (c. 11 km), Ngapouri (c. 11 km), TeWheta (c. 12 km), Orakonui (c. 13 km), Orakeikorako (c. 14 km)"
RPZ,Rata Peaks,Stable,,On concrete floor of purpose-built instrument vault,Crest of broad ridge,"Quartz Creek (c. 1 km), Lake Heron (c. 9 km), Fox Pk (c. 15 km) "
RQGS,Wellington Aarque Graphics,Stable,,Concrete floor of 1 storey reinforced concrete masonry building with light roof,Flat land of Te Aro Basin,"Wellington (Hutt Valley) (c. 2 km), Ohariu S (c. 7 km), Pukerua-Shepherds (c. 10 km), Moonshine (c. 10 km), Whitemans (c. 11 km)"
RRKS,Rarakau (Southland District Council),Low Landslide Susceptibility,,Concrete floor of light timber house-type building,Flat land,"Hauroko (c. 19 km), Te Anau (c. 20 km) "
RUAS,Ruatoki School,Low Landslide Susceptibility,,"Concrete floor of light, 1-storey, steel-framed classroom block",Floor of 3km wide alluvial valley (Whakatane River),"Whakatane N (c. 0.9 km), Waimana N (c. 10 km), Waikaremoana (c. 14 km), Waiohau N (c. 16 km), Awakeri (c. 18 km)"
RUZ,Raurimu,Stable,,On concrete floor of purpose-built instrument vault,,"Raurimu (c. 5 km), National Park (c. 8 km) "
SBRC,Southbridge School,Stable,,Concrete floor of brick-clad boiler shed.,"Canterbury Plains, 8 km from coast & 30 km from Banks Peninsula.",Hororata (c. 46 km) 
SCAC,Scargill,Stable,,"Concrete floor of small garage (light timber frame, iron cladding).","Floor of Scargill Valley, near edge of hill & 200m from the Scargill Stream and associated terraces.","Kaiwara S (c. 0.4 km), Omihi (c. 4 km), Lowry (c. 11 km) "
SHFC,Sheffield School,Stable,,"Concrete floor of ""Skyline"" type garage (light timber frame, iron cladding).","Canterbury Plains, 1 km from range front & 18 km from Porters Pass- Amberley Fault zone.","Hororata (c. 3 km), Cust (c. 4 km), Springbank (c. 4 km), Ashley (c. 9 km), Springfield (c. 13 km)"
SIZ,Stewart Island,Stable,,On concrete floor of purpose-built instrument vault,Rock outcrop at crest of sharp ridge,Hokonui (c. 109 km) 
SJFS,Springs Junction Fire Station,Stable,20,"Concrete floor of light, 1-storey, wood-framed, steel-clad building (about 10m x 10m)",River valley (about 1km wide) in mountainous terrain.,"Alpine (Kaniere-Tophouse) (c. 2 km), Awatere SW (c. 6 km) "
SKFS,Dunedin St Kilda Fire Station,Stable,5,"Concrete floor of 1-storey, steel framed, brick clad building",Flat land close to Musselburgh Hill (edge of a major basin of soft material).,Akatore (c. 12 km) 
